company_id,vendor_id,date,monthly_spend,company_size,company_region,vendor_contract_type,vendor_category
PC1,V_SEASONAL1,2021-01-01,4747.26,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-02-01,4920.9,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-03-01,6540.6,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-04-01,7159.58,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-05-01,5315.97,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-06-01,5220.83,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-07-01,5251.36,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-08-01,3977.91,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-09-01,4086.8,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-10-01,3109.44,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-11-01,3631.38,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2021-12-01,4132.2,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-01-01,4561.68,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-02-01,5117.41,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-03-01,6162.62,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-04-01,5965.73,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-05-01,6636.38,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-06-01,5320.78,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-07-01,4354.71,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-08-01,4441.08,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-09-01,3764.88,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-10-01,1107.13,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-11-01,1065.48,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2022-12-01,1619.57,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-01-01,5016.0,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-02-01,5557.82,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-03-01,6092.83,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-04-01,6036.53,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-05-01,6063.71,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-06-01,5789.9,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-07-01,5501.67,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-08-01,3920.72,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-09-01,3856.56,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-10-01,3617.21,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-11-01,3444.86,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2023-12-01,4359.13,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-01-01,4133.07,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-02-01,6309.05,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-03-01,6547.01,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-04-01,5821.24,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-05-01,5988.03,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-06-01,5802.99,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-07-01,4497.3,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-08-01,3973.19,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-09-01,3825.27,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-10-01,1239.79,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-11-01,1256.58,SMB,NA,subscription,Tooling
PC1,V_SEASONAL1,2024-12-01,1335.64,SMB,NA,subscription,Tooling
PC1,V_SEASONAL2,2021-01-01,5150.28,SMB,NA,subscription,Marketing
PC1,V_SEASONAL2,2021-02-01,6891.25,SMB,NA,subscription,Marketing
PC1,V_SEASONAL2,2021-03-01,8084.92,SMB,NA,subscription,Marketing
PC1,V_SEASONAL2,2021-04-01,6982.31,SMB,NA,subscription,Marketing
PC1,V_SEASONAL2,2021-05-01,6439.33,SMB,NA,subscription,Marketing
PC1,V_SEASONAL2,2021-06-01,6057.46,SMB,NA,subscription,Marketing
