company_id,vendor_id,date,monthly_spend,company_size,company_region,vendor_contract_type,vendor_category
RV_NA1,V_GLOBAL,2022-01-01,11655.16,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-02-01,11035.55,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-03-01,12049.53,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-04-01,11909.67,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-05-01,11314.5,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-06-01,10864.12,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-07-01,11714.85,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-08-01,11289.24,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-09-01,10473.82,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-10-01,12424.52,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-11-01,11467.76,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2022-12-01,11475.77,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-01-01,10541.05,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-02-01,10721.91,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-03-01,11911.67,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-04-01,10672.94,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-05-01,11086.3,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-06-01,11135.0,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-07-01,11198.83,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-08-01,12342.84,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-09-01,11382.74,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-10-01,11178.5,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-11-01,10532.34,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2023-12-01,11274.03,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2024-01-01,11311.82,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2024-02-01,12035.37,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2024-03-01,11773.28,SMB,NA,subscription,GlobalService
RV_NA1,V_GLOBAL,2024-04-01,11589.08,SMB,NA,subscription,GlobalService
