company_id,vendor_id,date,monthly_spend,company_size,company_region,vendor_contract_type,vendor_category
CY1,V_CYCLE_EARLY,2021-01-01,1130.57,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-02-01,1503.29,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-03-01,2150.62,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-04-01,2560.19,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-05-01,3384.71,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-06-01,3718.71,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-07-01,3651.63,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-08-01,4352.09,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-09-01,5733.92,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-10-01,5728.42,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-11-01,4861.71,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2021-12-01,5451.3,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-01-01,4895.73,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-02-01,5628.31,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-03-01,5642.04,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-04-01,4524.93,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-05-01,5675.24,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-06-01,5433.88,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-07-01,4898.34,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-08-01,4794.44,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-09-01,4609.96,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-10-01,5568.59,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-11-01,5460.03,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2022-12-01,5775.76,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2023-01-01,4659.67,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2023-02-01,4855.81,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2023-03-01,5258.25,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2023-04-01,4384.55,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2023-05-01,5442.11,SMB,NA,subscription,EarlyLifecycle
CY1,V_CYCLE_EARLY,2023-06-01,5172.65,SMB,NA,subscription,EarlyLifecycle
